,,,,,reach_x, impressions_x, amount_x, clicks_x, cpreach_x, cpm_x, engagement_x, cpr_x,reach_y, impressions_y, amount_y, clicks_y, cpreach_y, cpm_y, engagement_y, cpr_y,outcome
208.00,8394.00,8463.00,5.00,802.14,1.01,134.00,5.99,1.58,95.56,94.78,141.00,160.43,1.01,134.00,5.99,1.58,95.56,94.78,141.00,160.43,168.04
409.00,684.00,687.00,139.00,90.45,1.00,54.00,1.67,7.86,132.24,131.66,139.00,0.65,1.00,54.00,1.68,7.86,132.24,131.66,139.00,0.65,16.12
54.00,2141.00,2232.00,1.00,523.78,1.04,63.00,8.31,2.82,244.64,234.67,393.00,523.78,1.04,63.00,8.31,2.82,244.64,234.67,393.00,523.78,504.22
362.00,21607.00,23150.00,9.00,3204.01,1.07,263.00,12.18,1.14,148.29,138.40,0.00,356.00,1.07,263.00,12.18,1.14,148.29,138.40,0.00,356.00,352.57
92.00,1138.00,1233.00,3.00,519.57,1.08,49.00,10.60,3.97,456.56,421.39,230.00,173.19,1.08,49.00,10.60,3.97,456.56,421.39,230.00,173.19,180.87
964.00,2898.00,3093.00,5.00,573.79,1.07,45.00,12.75,1.45,198.00,185.51,33.00,114.76,1.07,45.00,12.75,1.45,198.00,185.51,33.00,114.76,125.26
887.00,11856.00,12275.00,11.00,1099.80,1.04,154.00,7.14,1.25,92.76,89.60,147.00,99.98,1.04,154.00,7.14,1.25,92.76,89.60,147.00,99.98,111.07
679.00,2659.00,2830.00,1.00,301.48,1.06,17.00,17.73,0.60,113.38,106.53,15.00,301.48,1.06,17.00,17.73,0.60,113.38,106.53,15.00,301.48,301.14
647.00,758.00,876.00,7.00,59.64,1.16,9.00,6.63,1.03,78.68,68.08,8.00,8.52,1.16,9.00,6.63,1.03,78.68,68.08,8.00,8.52,26.23
212.00,7974.00,8823.00,2.00,1020.22,1.11,115.00,8.87,1.30,127.94,115.63,67.00,510.11,1.11,115.00,8.87,1.30,127.94,115.63,67.00,510.11,498.11
283.00,5416.00,5734.00,6.00,323.82,1.06,157.00,2.06,2.74,59.79,56.47,113.00,53.97,1.06,157.00,2.06,2.74,59.79,56.47,113.00,53.97,68.20
50.00,4823.00,5143.00,4.00,798.21,1.07,94.00,8.49,1.83,165.50,155.20,46.00,199.55,1.07,94.00,8.49,1.83,165.50,155.20,46.00,199.55,205.14
33.00,4010.00,4172.00,6.00,655.79,1.04,149.00,4.40,3.57,163.54,157.19,71.00,109.30,1.04,149.00,4.40,3.57,163.54,157.19,71.00,109.30,119.80
18.00,2395.00,2504.00,4.00,814.43,1.05,77.00,10.58,3.08,340.05,325.25,31.00,203.61,1.05,77.00,10.58,3.08,340.05,325.25,31.00,203.61,209.25
1009.00,1378.00,1420.00,12.00,144.15,1.03,74.00,1.95,5.21,104.61,101.51,63.00,12.01,1.03,74.00,1.95,5.21,104.61,101.51,63.00,12.01,28.71
888.00,2857.00,2954.00,3.00,575.20,1.03,37.00,15.55,1.25,201.33,194.72,35.00,191.73,1.03,37.00,15.55,1.25,201.33,194.72,35.00,191.73,197.79
758.00,2991.00,3032.00,4.00,248.75,1.01,30.00,8.29,0.99,83.17,82.04,27.00,62.19,1.01,30.00,8.29,0.99,83.17,82.04,27.00,62.19,75.34
