id,reach,impressions,results,amount,frequency,clicks,cpc,ctr,cpreach,cpm,engagement,cpr
954,9408,9924,7,776.05,1.054847,113,6.867699,1.138654,82.488308,78.199315,130,110.86428571429
955,2259,2380,12,507.2,1.053564,63,8.050794,2.647059,224.524126,213.109244,34,42.266666666667
956,805,850,3,313.86,1.055901,16,19.61625,1.882353,389.888199,369.247059,5,104.62
957,5534,5761,2,489.68,1.041019,56,8.744286,0.972053,88.485725,84.999132,66,244.84
958,5436,5789,5,502.78,1.064937,71,7.081408,1.226464,92.490802,86.850924,88,100.556
959,2504,2669,6,488.49,1.065895,44,11.102045,1.648558,195.083866,183.023604,33,81.415
960,5782,5958,1,573.3,1.030439,60,9.555,1.007049,99.152542,96.223565,68,573.3
961,6488,7553,1,517.06,1.164149,99,5.222828,1.310737,79.694821,68.457567,69,517.06
962,2235,2400,2,348.88,1.073826,67,5.207164,2.791667,156.098434,145.366667,16,174.44
963,4909,5091,2,484.85,1.037075,71,6.828873,1.394618,98.76757,95.236692,47,242.425
964,2898,3093,5,573.79,1.067288,45,12.750889,1.454898,197.995169,185.512447,33,114.758
965,1172,1202,1,193.95,1.025597,16,12.121875,1.331115,165.486348,161.356073,15,193.95
966,1019,1076,3,342.25,1.055937,24,14.260417,2.230483,335.868499,318.076208,9,114.08333333333
967,5284,5570,3,572.64,1.054126,79,7.248608,1.418312,108.372445,102.807899,79,190.88
968,1761,1854,2,345.07,1.052811,60,5.751167,3.236246,195.951164,186.121899,18,172.535
969,2890,2966,1,266.99,1.026298,37,7.215946,1.247471,92.384083,90.016858,32,266.99
970,3026,3141,6,578.13,1.038004,43,13.444884,1.368991,191.054197,184.059217,27,96.355
971,3233,3487,5,503.3,1.078565,65,7.743077,1.864067,155.675843,144.336106,61,100.66
972,1169,1269,2,351.2,1.085543,25,14.048,1.970055,300.427716,276.753349,13,175.6
973,4720,5112,5,573.21,1.083051,87,6.588621,1.701878,121.442797,112.130282,90,114.642
974,6652,7539,2,511.04,1.133343,140,3.650286,1.85701,76.825015,67.786179,101,255.52
975,1405,1538,3,350.06,1.094662,51,6.863922,3.315995,249.153025,227.607282,12,116.68666666667
976,4062,4230,3,346.28,1.041359,40,8.657,0.945626,85.248646,81.862884,57,115.42666666667
977,1256,1297,4,132.32,1.032643,70,1.890286,5.39707,105.350318,102.020046,45,33.08
978,3038,3233,8,574.52,1.064187,52,11.048462,1.608413,189.111257,177.704918,32,71.815
979,3690,3968,2,499.26,1.075339,50,9.9852,1.260081,135.300813,125.821573,66,249.63
980,990,1095,2,360.03,1.106061,21,17.144286,1.917808,363.666667,328.794521,8,180.015
981,904,910,1,100.23,1.006637,7,14.318571,0.769231,110.873894,110.142857,14,100.23
982,7010,8555,1,498.55,1.220399,137,3.639051,1.601403,71.119829,58.275862,99,498.55
983,1429,1476,3,344.84,1.03289,44,7.837273,2.98103,241.315605,233.631436,15,114.94666666667
984,3210,3305,6,348.99,1.029595,32,10.905938,0.96823,108.719626,105.594554,32,58.165
985,3512,3803,7,346.41,1.082859,213,1.626338,5.600841,98.636105,91.088614,137,49.487142857143
986,2734,2876,1,579.52,1.051939,41,14.134634,1.425591,211.967813,201.502086,31,579.52
987,3642,3933,5,509.84,1.079901,82,6.217561,2.084922,139.989017,129.631325,86,101.968
988,1215,1254,1,342.62,1.032099,16,21.41375,1.275917,281.99177,273.221691,13,342.62
989,6386,7472,1,512.18,1.17006,135,3.793926,1.806745,80.20357,68.546574,83,512.18
990,3981,4476,8,391.86,1.124341,176,2.226477,3.932082,98.432555,87.546917,161,48.9825
991,3633,4036,7,349.62,1.110928,243,1.438765,6.020813,96.234517,86.625372,144,49.945714285714
992,3734,4203,3,501.43,1.125603,110,4.558455,2.617178,134.287627,119.302879,91,167.14333333333
993,6200,7322,2,493.33,1.180968,145,3.402276,1.980333,79.569355,67.3764,90,246.665
994,4915,6109,22,576.43,1.24293,199,2.896633,3.257489,117.279756,94.357505,171,26.201363636364
995,3105,3806,10,342.1,1.225765,240,1.425417,6.305833,110.177134,89.884393,134,34.21
996,869,888,1,186.66,1.021864,13,14.358462,1.463964,214.798619,210.202703,5,186.66
997,3250,3651,2,492.08,1.123385,79,6.228861,2.163791,151.409231,134.779512,61,246.04
998,5492,6778,1,477.42,1.234159,178,2.682135,2.626143,86.93008,70.436707,92,477.42
999,2027,2141,8,491.21,1.056241,40,12.28025,1.868286,242.333498,229.430173,27,61.40125
1000,3729,4020,4,491.59,1.078037,82,5.995,2.039801,131.828909,122.28607,85,122.8975
1001,3300,3454,4,574.02,1.046667,39,14.718462,1.129126,173.945455,166.189925,32,143.505
1002,4247,4748,1,465.14,1.117966,66,7.047576,1.390059,109.522016,97.965459,78,465.14
1003,3467,3744,11,580.83,1.079896,65,8.935846,1.736111,167.531007,155.136218,43,52.802727272727
1004,2077,2268,2,283.14,1.09196,49,5.778367,2.160494,136.321618,124.84127,62,141.57
1005,801,809,3,185.96,1.009988,23,8.085217,2.843016,232.1598,229.86403,12,61.986666666667
1006,3195,3417,10,505.89,1.069484,76,6.656447,2.224173,158.338028,148.050922,37,50.589
1007,3385,3571,8,488.16,1.054948,51,9.571765,1.428171,144.212703,136.701204,28,61.02
1008,3536,3850,7,488.9,1.088801,69,7.085507,1.792208,138.263575,126.987013,33,69.842857142857
1009,1378,1420,12,144.15,1.030479,74,1.947973,5.211268,104.608128,101.514085,63,12.0125
1010,3355,3555,8,495.79,1.059613,59,8.40322,1.659634,147.776453,139.462729,38,61.97375
1011,1329,1471,2,208.47,1.106847,38,5.486053,2.583277,156.862302,141.719918,28,104.235
1012,3470,3973,6,236.45,1.144957,198,1.194192,4.98364,68.14121,59.514221,103,39.408333333333
1013,3613,3919,5,415.88,1.084694,42,9.901905,1.071702,115.10656,106.118908,30,83.176
1014,1351,1484,1,198.77,1.098446,41,4.848049,2.762803,147.128053,133.942049,23,198.77
1015,5910,6754,14,572.38,1.142809,337,1.698457,4.989636,96.849408,84.746817,198,40.884285714286
1016,1962,2215,6,305.22,1.12895,69,4.423478,3.115124,155.565749,137.79684,58,50.87
1017,1053,1117,2,263.03,1.060779,32,8.219688,2.864816,249.791073,235.478962,13,131.515
1018,1684,1780,1,224.28,1.057007,42,5.34,2.359551,133.182898,126,10,224.28
