"Campaign name","Ad set name","Ad name",Age,Gender,Objective,Day,Reach,Impressions,Frequency,"Amount spent (INR)","Result Type",Results,"Cost per result","Clicks (all)","CPC (all)","CTR (all)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Post engagement","Reporting starts","Reporting ends"
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,male,LEAD_GENERATION,2021-04-04,1796,2010,1.119153674833,105.45373393278,"On-Facebook leads",4,26.363433483195,51,2.06772027,2.53731343,53,1.98969309,52.46454425,53,2021-04-04,2021-04-04
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,male,LEAD_GENERATION,2021-04-04,1962,2049,1.0443425076453,84.164998910697,"On-Facebook leads",5,16.832999782139,39,2.1580769,1.9033675,34,2.47544114,41.07613417,35,2021-04-04,2021-04-04
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,male,LEAD_GENERATION,2021-04-04,4188,4630,1.1055396370583,227.05650828861,"On-Facebook leads",6,37.842751381434,86,2.64019196,1.8574514,76,2.98758564,49.04028257,81,2021-04-04,2021-04-04
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,female,LEAD_GENERATION,2021-04-03,586,643,1.0972696245734,32.64,,,,19,1.71789474,2.95489891,17,1.92,50.76205288,18,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,female,LEAD_GENERATION,2021-04-03,198,246,1.2424242424242,15.23,"On-Facebook leads",2,7.615,11,1.38454545,4.47154472,9,1.69222222,61.91056911,9,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,male,LEAD_GENERATION,2021-04-03,4606,4847,1.0523230568823,203.47,"On-Facebook leads",3,67.823333333333,87,2.33873563,1.7949247,79,2.57556962,41.97854343,80,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,male,LEAD_GENERATION,2021-04-03,1362,1531,1.1240822320117,53.66,,,,27,1.98740741,1.76355323,25,2.1464,35.04898759,27,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,male,LEAD_GENERATION,2021-04-03,2272,2521,1.1095950704225,106.43,"On-Facebook leads",3,35.476666666667,47,2.26446809,1.86433955,37,2.87648649,42.21737406,38,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,male,LEAD_GENERATION,2021-04-03,104,108,1.0384615384615,4.79,"On-Facebook leads",1,4.79,7,0.68428571,6.48148148,5,0.958,44.35185185,5,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,female,LEAD_GENERATION,2021-04-03,156,189,1.2115384615385,6.4,,,,4,1.6,2.11640212,2,3.2,33.86243386,3,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,male,LEAD_GENERATION,2021-04-03,486,518,1.0658436213992,24.83,,,,10,2.483,1.93050193,8,3.10375,47.93436293,9,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,male,LEAD_GENERATION,2021-04-03,40,40,1,2.95,,,,0,,0,,,73.75,,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,female,LEAD_GENERATION,2021-04-03,28,34,1.2142857142857,1.62,,,,0,,0,,,47.64705882,,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,female,LEAD_GENERATION,2021-04-03,12,12,1,0.31,,,,1,0.31,8.33333333,1,0.31,25.83333333,1,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,female,LEAD_GENERATION,2021-04-03,4,4,1,0.17,,,,0,,0,,,42.5,,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,unknown,LEAD_GENERATION,2021-04-03,2,2,1,0.02,,,,0,,0,,,10,,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,unknown,LEAD_GENERATION,2021-04-03,0,1,0,0.05,,,,0,,0,,,50,,2021-04-03,2021-04-03
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,male,LEAD_GENERATION,2021-04-02,3410,3740,1.0967741935484,223.18,"On-Facebook leads",8,27.8975,73,3.05726027,1.95187166,53,4.2109434,59.67379679,60,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,male,LEAD_GENERATION,2021-04-02,1720,1802,1.0476744186047,105.75,,,,15,7.05,0.83240844,14,7.55357143,58.68479467,22,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,male,LEAD_GENERATION,2021-04-02,1558,1780,1.1424903722721,90.84,"On-Facebook leads",1,90.84,37,2.45513514,2.07865169,38,2.39052632,51.03370787,39,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,female,LEAD_GENERATION,2021-04-02,455,455,1,23.1,,,,8,2.8875,1.75824176,8,2.8875,50.76923077,8,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,male,LEAD_GENERATION,2021-04-02,434,449,1.0345622119816,21.33,"On-Facebook leads",1,21.33,11,1.93909091,2.44988864,10,2.133,47.50556793,10,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,female,LEAD_GENERATION,2021-04-02,213,213,1,11.3,"On-Facebook leads",1,11.3,6,1.88333333,2.81690141,4,2.825,53.05164319,6,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,female,LEAD_GENERATION,2021-04-02,184,191,1.0380434782609,9.94,,,,3,3.31333333,1.57068063,3,3.31333333,52.04188482,3,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,male,LEAD_GENERATION,2021-04-02,26,45,1.7307692307692,1.72,,,,1,1.72,2.22222222,2,0.86,38.22222222,2,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,male,LEAD_GENERATION,2021-04-02,94,116,1.2340425531915,5.68,,,,1,5.68,0.86206897,,,48.96551724,,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,female,LEAD_GENERATION,2021-04-02,22,27,1.2272727272727,1.05,,,,1,1.05,3.7037037,1,1.05,38.88888889,1,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,female,LEAD_GENERATION,2021-04-02,8,8,1,0.76,,,,0,,0,,,95,,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,female,LEAD_GENERATION,2021-04-02,4,4,1,0.34,,,,0,,0,,,85,,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,unknown,LEAD_GENERATION,2021-04-02,2,2,1,0.04,,,,1,0.04,50,1,0.04,20,1,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,unknown,LEAD_GENERATION,2021-04-02,1,1,1,0.07,,,,0,,0,,,70,,2021-04-02,2021-04-02
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,male,LEAD_GENERATION,2021-04-01,3344,3612,1.0801435406699,179.92176825809,"On-Facebook leads",6,29.986961376348,90,1.99913076,2.49169435,78,2.30668934,49.8122282,84,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,female,LEAD_GENERATION,2021-04-01,212,215,1.0141509433962,9.7790090783821,"On-Facebook leads",1,9.7790090783821,12,0.81491742,5.58139535,8,1.22237613,45.48376316,8,2021-04-01,2021-04-01
