Reporting starts,Reporting ends,Campaign name,Campaign ID,Campaign delivery,Results,Result indicator,Reach,Impressions,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Objective,Frequency,Clicks (all),CPC (all) (INR),CTR (all),"Cost per 1,000 people reached (INR)","CPM (cost per 1,000 impressions) (INR)",Page engagement
2021-06-22,2021-06-22,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-22,2021-06-22,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-22,2021-06-22,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-21,2021-06-21,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-21,2021-06-21,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-21,2021-06-21,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-21,2021-06-21,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-20,2021-06-20,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-20,2021-06-20,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-20,2021-06-20,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-20,2021-06-20,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-19,2021-06-19,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-19,2021-06-19,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-19,2021-06-19,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-19,2021-06-19,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-18,2021-06-18,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-18,2021-06-18,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-18,2021-06-18,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-18,2021-06-18,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-17,2021-06-17,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-17,2021-06-17,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
